time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-14 00:00:00+00:00,469,86,1114,267
2025-07-15 00:00:00+00:00,1043,89,1190,259
2025-07-16 00:00:00+00:00,1828,106,1254,281
2025-07-17 00:00:00+00:00,1437,119,1124,267
2025-07-18 00:00:00+00:00,553,56,921,263
2025-07-19 00:00:00+00:00,45,24,350,113
2025-07-20 00:00:00+00:00,397,43,356,113
2025-07-21 00:00:00+00:00,896,69,996,232
2025-07-22 00:00:00+00:00,352,71,1194,262
2025-07-23 00:00:00+00:00,911,75,910,227
2025-07-24 00:00:00+00:00,640,82,906,247
2025-07-25 00:00:00+00:00,1074,94,964,222
2025-07-26 00:00:00+00:00,780,54,536,129
2025-07-27 00:00:00+00:00,596,45,385,99
2025-07-28 00:00:00+00:00,1239,75,1123,227
2025-07-29 00:00:00+00:00,2296,136,1251,290
2025-07-30 00:00:00+00:00,489,76,1286,271
2025-07-31 00:00:00+00:00,567,66,1037,260
2025-08-01 00:00:00+00:00,865,101,835,218
2025-08-02 00:00:00+00:00,96,38,408,120
2025-08-03 00:00:00+00:00,45,16,446,120
2025-08-04 00:00:00+00:00,178,43,689,212
2025-08-05 00:00:00+00:00,206,47,849,240
2025-08-06 00:00:00+00:00,368,51,871,231
2025-08-07 00:00:00+00:00,455,73,860,230
2025-08-08 00:00:00+00:00,743,63,804,229
2025-08-09 00:00:00+00:00,399,37,425,121
2025-08-10 00:00:00+00:00,312,38,384,112
2025-08-11 00:00:00+00:00,245,46,799,227
2025-08-12 00:00:00+00:00,34425,68,843,239
2025-08-13 00:00:00+00:00,297,63,633,210
2025-08-14 00:00:00+00:00,52,9,772,217
2025-08-15 00:00:00+00:00,0,0,754,190
2025-08-16 00:00:00+00:00,0,0,456,124
